mineid,minename,date,time,narrative,stateabb,company_name
500301,DUTCH CREEK NO 1 AND ROCK TUNN,1/13/1983,1200,"THIS REPORT SUBMITTED TO ABATE VIOLATION FOR NOT REPORTING OUTBURST .IT IS THIS COMPANYS BELIEF THAT AN OUTBURST DIDNT OCCURR,BUT THAT THE FACE ONLY BUMPED AND A BUMP ISNT REPORTABLE.",CO,MID CONTINENT RESOURCES INC
4201393,LITTLE DOVE MINE,1/14/1983,1400,EE WAS WORKING ON MINER WHEN A BOUNCE HIT & BLEW THE RIB BEHIND THEM OUT THROWING EE AGAINST THE MINER BRUISING HIS BACK.  Second EE: EMPLOYEE WAS WORKING ON OFF CAB SIDE OF MINER WHEN A BOUNCE HIT BLOWING THE RIB BEHIND HIM FORCING HIS LEG INTO THE METAL PORTION OF THE MINER CUTTING HIS LEG,UT,EMERY MINING CORP
4200089,SOUTHERN UTAH FUEL UG,1/19/1983,445,EMPL STRUCK ON RIGHT SIDE OF FACE BY COAL THAT BURST FROM RIB CAUSING LACERATED FACE.,UT,SOUTHERN UTAH FUEL CO
4200080,WILBERG MINE,1/28/1983,1745,MAN WAS ROOF BOLTING WHEN A SUDDEN EQUALIZING OF PRESSURE CAUSED A BOUNCE AND THE RIB STRUCK THE MAN IN THE RT LEG THIS CAUSED A BRUISED OF THE LEG,UT,EMERY MINING CORP
4200082,BEEHIVE MINE,2/11/1983,2100,C.M. HAD JUST TAKEN LAST STUMP ON FIRST PUSH OF 2ND LEFT PILLAR.TAKING BOTTOM COAL WHEN THERE WAS ONE BIG BUMP AND TOP COAL CAME DOWN WEDGING C.M. IT WAS UNABLE TO MOVE OUT ON ITS OWN POWER.- WAS PULLED OUT WITH MINER PULLER.NO INJURY TO ANY INDIVIDUAL AND ALL TIMBERS WERE IN PLACE.,UT,EMERY MINING CORP
500301,DUTCH CREEK NO 1 AND ROCK TUNN,2/22/1983,1115,THIS REPORT SUBMITTED TO ABATE VIOLATION FOR NOT REPORTING OUTBURST.COMPANYS BELIEF THAT AN OUTBURST DIDNT OCCURR BUT THAT FACE ONLY BUMPED AND A BUMP IS NOT REPORTABLE.,CO,MID CONTINENT RESOURCES INC
4604500,WHARTON #11 UG,3/21/1983,2130,A ROCK OUTBURST OF APPROX 2FTX30FT AND AN UNDETRERMINED LENGTH SET DOWN ON THE MINER 14CM,WV,EASTERN ASSOC COAL CRP
4400241,LAMBERT FORK MINE,4/5/1983,230,"SUBJECT WAS CLEANING UP PLACE WHEN TOP BUMPED AND SANDSTONE FAIL OUT BETWEEN BOLTS HITTING SUBJECT ON TOP OF HAND, REQUIRED SIX STITCHES FOR CUT.",VA,CLINCHFIELD COAL CO
500301,Dutch Creek No. 1 Mine,4/15/1983,1100,Outburst of coal occurred in the face of the l02 longwall section. The accident occurred due to the overhurden which is in excess of 2000 feet. No injuries or property damage were sustained.,CO,"Mid-Continent Resources, Inc."
500301,DUTCH CREEK NO 1 AND ROCK TUNN,4/20/1983,1100,AT SHORTLY AFTER 1100AM A BOUNCE OCCURRED ON THE 102 LW FACE FROM SHIELD 115 TO 163 AND IN THE TAILGATE RETURN DAMAGING SHIELD LEGS AND CATAPULTING THE EMPLOYEE INTO THEM HE WAS KNOCK UNCONSCI OUS FROM THE CONCUSSION AND WAS TAKEN TO THE HOSPITAL AND  RELEASED LOST TIME FROM WORK DUE TO HEADACHES AND STRAINED MUSCLES. Second EE: THERE WAS A BOUNCE THAT KNOCKED THE EMPLOYEE FACE FIRST INTO THE PACKWALL WHERE A RUPTURED AIRLINE PELETTED HIS FACE WITH SAND AND COAL EMBEDDING PARTICLES EMPLOYEE HAS HAD TO MISS WORK FOR CO SMETIC MED CAR OF THIS FACE. Third Employee: THE EMPLOYEE WAS STANDING IN THE TAILGATE ROADWAY WHEN THE FLOOR BOUNCED HIM UP AGAINST THE TOP KNOCKING OFF HIS HARD HAT AND AS HE FELL HIS SCALP BECAME LACERATED THIS INJURY REQUIRED SUTURES AND LOST TIME RELEASED LOST TIME FROM WORK DUE TO HEADACHES AND STRAINED MUSCLES,CO,MID CONTINENT RESOURCES INC
500469,DUTCH CREEK NO 2 MINE,5/24/1983,950,"MINERS WERE TIMBERING A QUESTIONABLE AREA OF ROOF IN THE 2 NORTH BELT LINE, PILLAR SECTION ROOF BEGAN LOOKING OUTBY, THE BACKED UP & STARTED TIMBERING THERE WHEN FOREARM SMALLWOOD NOTICED THE ROOF START TO FELL DOWN T, THEN FELL ON BELT SOME APPROX.8\ HIGH, 20\ WIDE, & 30\ LONG, THE AREA HAD BOLTED WITH 4 & 6\ RESIN BOLTS, BUT HAD BOUNCED HARD A FEW WEEKS AGO, CAUSING THE ROOF TO",CO,MID CONTINENT RESOURCES INC
500469,DUTCH CREEK NO 2 MINE,6/5/1983,2400,THE LONGWALL CREW HAD COMPLETED ALL MINING FOR THE DAY AND WERE WALKING OUT THE HEADGATE WHEN THE FLOOR BOUNCED AND TWISTED THE EMP RT KNEE A SERIOUS SPRAIN RESULTED WHICH REQUIRED SURGICAL REPAIR HE IS EXPECTED TO MISS ANOTHER 2 OR 3 WEEKS OF WORK. MSHA accident employee 2: EMP WAS WALKING OUT OF THE 202 HEADGATE THE FLOOR UNDERNEATH HIM BOUNCED EMP KNEE WAS TWISTED AND SOME LIGAMENT DAMAGE OCCURRED ARTHOROSCOPIC SURGERY WAS REQUIRED AND AT THIS TIME EMP IS ON DISABILITY DUE TO BE RELEASED EARLY NEXT MONTH MINING HAD CEASED.,CO,MID CONTINENT RESOURCES INC
4200080,WILBERG MINE,6/28/1983,1730,11TH RIGHT LONGWALL FACE HAD BOUNCE WHICH DAMAGED LEGS ON SHIELDS.BOUNCE WAS CAUSED BY PRESSURE BEING EXERTED BT PREVIOUSLY MIED SEAM ABOVE WILBERGS.,UT,EMERY MINING CORP
502898,ORCHARD VALLEY,8/2/1983,1145,ROCK DUSTING AND EMPL BETWEEN ROCK DUSTER MACHINE AND INTER. CORNER WHEN BOUNCE OCCURRED THAT COVERED EMPL WITH RIB SLOUGH AND TOP COAL.VERY QUICKLY A PIECE OF CAP ROCK ALSO FELL.,CO,COLORADO WESTMORELAND INC
4200171,STAR POINT #2,8/3/1983,1000,A PIECE OF RIB FELL AS THE FACE BUMPED RIB COAL IN AN AREA 30X9X6 A PIECE OF THE RIB CAUGHT EMPLOYEES RIGHT FOOT,UT,PLATEAU MINING CO
4200121,DEER CREEK MINE,8/5/1983,2305,HE WAS MOVING TO THE INTAKE SIDE OF THE SHEAR AND THE FACE BOUNCED AND TOP CAME DOWN. A PIECE OF ROCK FROM THE BOUNCE STRUCK THE EMPLOYEE ON THE FOOT.,UT,EMERY MINING CORP
500300,L S WOOD MINE,8/11/1983,9999,SEVERE BOUNCE #1 SLOPE FROM XCUT 48-53(SOUTH RETURN) FLOOR HEAVED TO ROOF & KNOCKED OUT STOPPING SHORT CURCUITING VENTILATION FIREBOSS AT ANOTHER MINE & DISCOVERED IT WHEN HE CAME BACK,CO,MID CONTINENT RESOURCES INC
4200089,SOUTHERN UTAH FUEL UG,8/29/1983,1355,THE EMPLOYEE WAS HANGING A VENTILATION TUBE WHEN A PIECE OF COAL BURST FROM THE RIB STRIKING ANDLACERATING THE EMPLOYEE\S LEFT CHEEK.,UT,SOUTHERN UTAH FUEL CO
4200089,SOUTHERN UTAH FUEL UG,9/8/1983,1915,A RIB BURST OCCURRED CAUSING A SMALL PIECE OF COAL TO FLY OUT AND STRIKE THE EMPLOYEE ON THE TOOTH THE EMPLOYEES RIGHT FRONT TOOTH WAS BROKEN,UT,SOUTHERN UTAH FUEL CO
4601407,OLGA # 1 AND # 2 MINES,9/29/1983,1815,A OUT BURST OF COAL OCCURED IN 7 PILLAR SPLIT 3 NORTH SECTION CAUSING DAMAGE TO RIPPER HEAD OF 12CM JOY MINER,WV,OLGA COAL CO.
4601407,OLGA # 1 AND # 2 MINES,10/18/1983,1040,COAL OUTBURST OCCURRED IN #5 SPLIT 3 SOUTH SECTION CAUSING DAMAGE TO A 12CM JOY MINER AND A 21 SC JAY CAR. 2=COAL OUTBURST OCCURRED ON 3 SOUTH SECTION CAUSING FRACTURE TO EMPL LEFT LEG BELOW KNEE. 3=A COAL OUTBURST OCCURRED IN SOUTH SECTION #5 S PLIT CAUSING SERIOUS INJURIES. 4 = A COAL OUT BURST OCCURRED ON 3 SOUTH SECTION #5 SPLIT CAUSING FATAL INJURIES.,WV,OLGA COAL CO.
1509636,ROYAL DIAMOND UG,11/9/1983,2100,"EE WAS SETTING TIMBERS BETWEEN THE #2 & #3 PILLARS OF T HE 2 WEST SECTION ID #002-0. COAL BUMPED FROM RIB ATRIKING EE IN THE RIGHT SIDE OF THE FACE, THE RIGHT KNEE & HANDS.",KY,BLUE DIAMOND MINING INC
4605801,NO 21 MINE,11/29/1983,1720,"MOUNTAIN BUMP ,OUTBURST OF COAL HIT LEFT ARM CAUSING FRACTURE TO LEFT ARM. 2=MOUNTAIN BUMP CAUSING OUTBURST OF COAL IMPACT THREW HIM UNDER CUTTING HEAD OF MINER CAUSING FRACTURE OF BOTH LEGS. 3= MOUNTAIN BUMP CREATING OUTBURST OF COAL AND EMPL WENT INTO SHOCK AFTER OBSERVING OTHER INJURED PERSONS. 4= MOUNTAIN BUMP CREATING OUTBURST OF COAL AND EMPL WENT INTO SHOCK AFTER OBSERVING OTHER INJURED PERSONS. 5 = MOUNTAIN BUMP CREATING AN OUTBURST OF COAL & THE IMPACT THREW THE INJURED PERSON & HIS HEAD STRUCK THE CONTROL OF THE MACHINE & CAUSED HEAD INJURIES.",WV,W-P COAL CO
4200098,KING 4 MINE,12/14/1983,1405,INJURED WASHELPING ON MINER WHEN FACE BOUNCED BLOWING COAL AND ROCK FROM FACE HITTING HIM ON RIGHT LEG,UT,UNITED STATES FUEL CO.
4200121,DEER CREEK MINE,12/19/1983,1100,WHILE ROOFBOLTING THERE WAS A BOUNCE WHICH CAUSED THE RIB TO SLOUGH OFF HITTING THE EMPLOYEE ON THE LEG.,UT,EMERY MINING CORP
4200080,WILBERG MINE,12/29/1983,1810,COAL FELL FROM RIB AND HIT MARK. THERE WAS A SMALL BOUNCE THAT CAUSED THE COAL TO FALL.,UT,EMERY MINING CORP
4200098,KING 4 MINE,12/29/1983,1400,BOUNCE IN SECTION DROPPED SOME LOOSE MATERIAL AND STRUCK INJURED ON TOP OF HEAD.,UT,UNITED STATES FUEL CO.
4200080,WILBERG MINE,1/31/1984,2030,RIB BOUNCED AND COVERED HIM LARGE SECTION OF RIB PINNED HIM BESIDE TAILPIECE,UT,EMERY MINING CORP
4601296,MILBURN NO 4 UG,2/3/1984,1400,WAS RUNNING S CAR WHEN PRESSURE BUMP OCCURRED CAUSING RIB ROLL TO COME IN ON HIM IN SHUTTLE CARTHIS CAUSED HIM TO HIT HIS HEAD AGAINST SHUTTLE CAR RESULTING IN LACERATION TO RIGHT SIDE OF FACE,WV,MILBURN COLLIERY CO.
4601296,MILBURN NO 4 UG,2/10/1984,1835,A COAL OUTBURST OCCURRED ON SOUTH MAINS SECTION WHILE WORKING 11 PILLAR ON 5 ENTRY RESULTING IN ONE NON FATAL LOST TIME INJURY ALL AGENCIES WERE CALLED IN TO INVESTIGATE,WV,MILBURN COLLIERY CO.
4604606,CHAFIN NO.6,2/16/1984,1345,INJURED WAS SETTING TIMBERS WHEN COAL BURST FROM RIBS HITTING RIGHT EYE.,WV,JART MINERALS LTD
4604606,CHAFIN NO.6,2/22/1984,1000,INJURED WAS SETTING TIMBERS IN FACE WHEN COAL FROM A BURST RIB HIT LEFT EYE.,WV,JART MINERALS LTD
4601404,KEYSTONE #1 UG,3/23/1984,1645,INJURED WAS OPERATING A ROOFBOLT MACHINE CLOSE TO THE RIB IN A PILLAR SPLIT AND A PRESSURE BURST LOOSENED A PORTION OF THE RIB WWITH A PIECE OF DRAW SLATE ABOVE FALLING STRIKING INJURED ON THE LOWER LEFT LEG. STRAINED AND TWISTED LEG,WV,EASTERN ASSOCIATED COAL CRP
4601407,OLGA # 1 AND # 2 MINES,3/30/1984,930,EMPLOYEE WAS OPERATING A 12 CM. JOY MINER A OUT BURST OF COAL ACCURED CAUSING EMPLOYEE TO BUMP HIS HEAD AGAINST C.M. CAUSING LACERATION ABOVE LEFT EYE.,WV,OLGA COAL CO.
4200092,SUNNYSIDE MINE NO 3,4/11/1984,1130,EMP ALLEGES HE WAS PULLING CURTAIN AWAY FROM RIB WHEN IT BOUNCED AND A PIECE OF COAL STRUCK HIM ON THE SHOULDER CAUSING A CONTUSION,UT,KAISER STEEL CORP.
4200092,SUNNYSIDE MINE NO 3,4/16/1984,2130,EMPLOYEE ALLEGES HE WAS TEARING DOWN LINE CURTAIN WHEN IT BOUNCED AND A PIECE OF COAL STRUCK HIM ON THE RIGHT KNEE CAUSING LIMITED EXTENSION OF KNEE.,UT,KAISER STEEL CORP.
4200988,DESERET MINE,5/1/1984,1150,"REHABILALOTING BELT LINE, WHICH REQUIRES DROPPING ABOUT 8 FT OF TOP ROCK & COAL. RAMPING OVER TOP OF THE COAL & ROCK. A BOUNCE OCCURED AT TIME OF ACCIDENT, THROWING COAL & ROCK FROM THE RIB HI TTING THE MAN, AND THROWING HM INTO THE CONTINOUOUS MINER. 2 = REHABILATING BELT LINE WHICH REQUIRES DROPPING ABOUT 8 FT OF TOP ROCK & COAL. RAMPING OVER THE COAL & ROCK. A BOUNCE OCCURRED AT THE TIME OF ACCIDENT, THROWING COAL & ROCK FROM THE RIB HITTING THE MAN..",UT,EMERY MINING CORP
4200080,WILBERG MINE,5/17/1984,1930,PIECE OF COAL BOUNCED FROM LONGWALL FACE & HIT HIM,UT,EMERY MINING CORP
4200080,WILBERG MINE,6/6/1984,1645,AS I.NAME WAS OPERATING ROOF BOLTER & PIECE OF COAL BOUNCED OUT OF THE RIB AND HIT HIS ARM,UT,EMERY MINING CORP
500294,SOMERSET COAL MINE,6/25/1984,940,THE INJURED WAS GETTING BOARDS TO POUT A VENT IN THE FACE TOP ROOM WHEN THE SECTION HAD A BIG BUMP KNOCKING A RIB OF COAL CLEAR ACROSS THE ENTRY. SEVERAL CHUNKS OF COAL STRUCK THE INJURED IN THE BACK & LEFT LEG. HIS THUMB WA ALSO HURT. THE DRS REPORT INDICATES A FRATURE OF LEFT LATERAL MALLEOLUS ABRASIONS & CONTUSIONS LEFT LEG ULNAR COLLATERAL LIGAMENT RIGHT THUMB.,CO,US STEEL MINING CO INC
4200125,GORDON CREEK NO 2,7/14/1984,744,A RIB BOUNCED AND A PIECE OF COAL ABOUT 5\X4\ X11\ STRUCK EMPLOYEE ON HIS RIGHT FOOT.,UT,BEAVER CREEK COAL CO
4200092,SUNNYSIDE MINE NO 3,7/19/1984,1730,EMP ALLEGES COAL AND ROCK BOUNCED FROM FACE AND STRUCK HIM ON LEG,UT,KAISER STEEL CORP.
4601407,OLGA # 1 AND # 2 MINES,8/8/1984,1340,AN OLUTBURST OF COAL STRUCK EMPLOYEE IN SIDE AND BACK,WV,OLGA COAL CO.
4200121,DEER CREEK MINE,8/16/1984,1415,"EMPL-AN ENGINEER-TAKING FACE MEASUREMENTS ALONG PAN LINE TO DETERMINE ASH CONTENT WHEN A BOUNCE OCCURRED,CAUSING SLAB TO SLOUGH OFF.THE FACE WHICH HIT EMPL IN LEFT LEG FRACTURING SMALL BONE IN LOWER LEG.",UT,EMERY MINING CORP
4201202,PRICE RIVER NO.5,12/4/1984,1730,TWO LONGWALL EMP WERE INJURED WHEN THEY WERE STRUCK BY COAL CAUSED BY ENERGY RELEASE FROM FACE BUMP NEAR THE TAILGATE OF THE 11TH WEST LONGWALL. 2= TWO LONGWALL EMP WERE INJURED WHEN THEY WERE STRUCK BY COAL CAUSED BY ENERGY RELEASE FROM THE FACE BUMP NEAR THE TAILGATE OF THE 11TH WEST LONGWALL,UT,PRICE RIVER COAL COMPANY INC
500294,SOMERSET COAL MINE,2/8/1985,2115,"MINER HELPING SET VENT JACK.ROOF AND RIBS EXPERIENCED BOUNCE AND SMALL PIECE OF COAL BOUNCED FROM RIB,CAUGHT INJ LEFT HAND LITTLE FINGER AND PINCHED IT AGAINST JACK.CUT REQ 8 SUTURES.",CO,US STEEL MINING CO INC
1514267,#58,3/18/1985,700,"THE MINE HAD EXPERIENCED A NON-INJURY ACCIDENT IN THE FORM OF LATERAL ROOF MOVEMENT, DUE TO UNKNOWN REASONS, CAUSING ROOF CRACKS AND PILLAR OUTBURST THROUGHOUT THE MINE.",KY,LEECO INC.
500469,DUTCH CREEK NO 2 MINE,4/3/1985,930,EMPLOYEE WAS CLEANING NEXT TO RIB A SPOT TO START CRIBBING ROOF WHEN SMALL BOUNCE OCCURED THAT REALEASED SMALL CAP ROCK FROM TOP & IT FELL AGAINST I.NAME LEG HE INCURRED A FX TO BOTH TIBIA & F IBULA OF LEFT LEG REQUIRING SURGICAL REDUCTION,CO,MID CONTINENT RESOURCES INC
4200098,KING 4 MINE,4/4/1985,1805,"THE INJURED MAN WAS CHECKING THE MINER CABLE. THE WAS A HEAVY BOUNCE, CAUSING THE RIB TO FALL. A CHUNCK OF COAL APPROX. 15""X12""X4"" THICK STRUCK THE MAN ON THE BACK OF THE HEAD.",UT,UNITED STATES FUEL CO.
500469,DUTCH CREEK NO 2 MINE,4/5/1985,1100,A BOUNCE OCCURRED ON THE LONGWALL FACE AND THE EMPLOYEE WAS ROCKED OFF BALANCE. HIS FOOT WAS STUCK IN A HOLE AS HE FELL AND SO HE INJURED HIS LEFT KNEE. THE KNEE INJURY REQUIRED SURGERY AND A FTER A WEEK THE EMPLOYEE WILL BEGIN RESTRICTED WORK ACTIVITY.,CO,MID CONTINENT RESOURCES INC
4601407,OLGA # 1 AND # 2 MINES,6/3/1985,300,AN OUTBURST OF COAL ON 9 RT-NOBODY HURT.,WV,OLGA COAL CO.
4200098,KING 4 MINE,6/11/1985,230,I NAME WAS OPERTING A DOUBLE BOOM BOLTER HE HAD DRILLED APPROX 3 1/2 FROM RIB AND WAS SPINNING THE ROF BOLT TO SET RESIN UP WHEN A BOUNCE CAUSED RIB LINE TO FALL OUT FROM APPROX 7 FT BEHIND THE MACHINE 10 FT INBY THE MACHINE THIS PUSHED I NAME INTO THE MACHINE AND COAL PILED AROUND HIM,UT,UNITED STATES FUEL CO.
4400238,BEATRICE,6/19/1985,1830,COAL OUTBURST OCCURRED IN TAIL ENTRY OF 2 NORTH LONGWALL AT THE TAIL OF THE LONGWALL FACE,VA,BEATRICE POCAHONTAS COMPANY
4400238,BEATRICE,7/15/1985,1050,COAL OUTBURST COURREN ALONG FACLINE NEAR TAIL OF 2 NORTH LONGWALL 2 NORTH 5 DAYS OUTBURST INVOLVED LAST 40 FT OF LONGWALL BLOCKS.,VA,BEATRICE POCAHONTAS COMPANY
500294,SOMERSET COAL MINE,9/17/1985,1410,"THIS SECTION FOREMAN WAS STANDING BETWEEN THE COAL RIB & DIESEL GIVING INSTRUCTIONS TO SCOOP OPERATOR. A BOUNCE OCCURRED CAUSING RIB TO FALL. A CHUNCK OF COAL MEASURING 2.5\ LONG 2\ WIDE 18"" THICK STRUCK INJURED ONT EH BACK OF THE LEFT LEG RESULTINGIN A FRACTURE TO LEFT FIBULA.",CO,US STEEL MINING CO INC
4200077,SOLDIER CANYON UG,10/29/1985,450,HANGING CABLE WHEN RIB BOUNCED AND STRUCK HIS HAND.,UT,SOLDIER CREEK COAL CO
4200089,SOUTHERN UTAH FUEL UG,10/31/1985,2130,EMPL STRUCK ON MOUTH BY COAL THAT BURST FROM LONGWALL FACE.EMPL UPPER AND LOWER LIPS WERE LACERATED AND LOWER TEETH LOOSENED.,UT,SOUTHERN UTAH FUEL CO
4200094,SUNNYSIDE #2 MINE,11/22/1985,730,"A severe bounce occurred in the water canyon dips. The bounce affected roof, floor and ribs of four entries and connecting crosscuts, beginning at 16 right and extending inby to the faces of the water canyon dips section. No injuries. The bounce area is adjacent to the 18 right longwall section of Sunnyside
mine No. 3 which has been advanced about 400 feet outby the setup entries.",UT,Kaiser Steel Corp.
500469,DUTCH CREEK NO 2 MINE,11/22/1985,2200,A PILLAR BUMP O7CURRED IN 3 NORTH SECTION CAUSING DISRUPTION OF REGULAR MINING ACTIVITY,CO,MID CONTINENT RESOURCES INC
4200094,SUNNYSIDE #2 MINE,11/22/1985,725,A BOUNCE OCCURR9D IN 3 OF 4 ENTRIES THAT CAUSED CONSIDERABLE DAMAGE TO THE ROADWAY BELTLINE AND A TRUCK A CAVE RESULTED FROM THIS AT ABOUT #3 X-CUT IN THE BELT ENTRY DIMENSIONS UNKNOWN THIS BOUNCE CAUSED 0LOOR AND RIB DAMAGE FOR ABOUT 400 FEET IN 3 ENTRIES,UT,KAISER STEEL CORP.
501370,EAGLE #5 UG,11/23/1985,1300,"THE FACE BURST,3A SMALL LUMP OF COAL STRUCK EMPLOYEE ON THE FOREHEAD BETWEEN THE EYEBROWS. THE BLOW CAUSED A LASCERATION WHICH REQUIRED 4 SUTUTES",CO,EMPIRE ENERGY CRP
500469,DUTCH CREEK NO 2 MINE,11/24/1985,1400,"A BOUNCE OCCURR9D AT THE FACE AREA OF THIS CONT. MINER SECTION AND ROCKED THE SHUTTLE CAR. THIS EMPLOYEE WAS IN THE CAB OF THE SHUTTL E CAR, AND STRUCK THE INSIDES OF THIS CAB. HE SU STAINED VARIOUS3BRUISES TO HIS RIB CAGE AND SHOULDER BLADES. 2 = A BOUNCE OCCURR9D WHILE THE EMPLOYEE WAS CLEANING THE TAILPIECE AND IT KNOCKED HIM FORWARD. HE IS NOT SURE WHAT HE CUT HIS FACE ON BUT HE GOT UP FORM THE BOUNCE AND FOUND HIS FACE BADLY CUT RE QUIRING 30 STIT7HES AND ANTI-BIOTIC THERAPY. 3 = MAN WAS WORKING3ON THE CONTROLLER TO THE SHUTTLE CAR WHEN THE SECTION BOUNCED AND HE WAS KNOCKED INTO THE LID OF THE CONTROLLER WHICH BRUISED BOTH KNEE CAPS. 4 = A PILLAR BUMP O7CURRED IN 3 NORTH SECTION CAUSING DISRUPTION REGULAR MINING ACTIVITIES",CO,MID CONTINENT RESOURCES INC
500469,DUTCH CREEK NO. 2,1/13/1986,1730,A BOUNCE AT TH3S MINER SECTION FACE RESULTED IN A DISPLACEMENT OF COAL FROM A PILLAR WHICH STRUCK THE MINER HELP IN THE LEGS HE HAS SUSTAINED A COMPLICATED FX OF THE LEFT LOWER LEG WHICH WILL REQUIRE HIM TO 4ISS WORK FOR AN UNDERTERMINED PERIOD OF TIME. 2 = A BOUNCE OCCURR9D WHICH RESULTED IN COAL DISPLACED FROM RIB WHICH STRUCK THE MINER OPERATOR WHERE HE WAS STANDING BRUISING AN ARM & LOWER BODY PUSHING HIM OVER & SPRAINING HIS RIGHT KNEEME,CO,"MID-CONTINENT RESOURCES, INC."
4201393,LITTLE DOVE,1/15/1986,1520,BOUNCE OCCURRED3AT PILLAR SPLIT I.NAME WAS KNCOKED DOWN & HIT HIS NOSE WITH ARM & PIECE OF COAL.,UT,UTAH POWER & LIGHT CO. MINING
4200092,SUNNYSIDE MINE NO. 3,1/16/1986,1330,EMPLOYEE ALLEGE8 HE W AS STRUCK BY ROCK FROM A BOUNCE,UT,KAISER COAL CORPORATION OF SUN
4200077,SOLDIER CANYON,2/28/1986,1645,A BOUNCE OCCURR9D IN A PILLAR SECTION & T HE VICTIM WAS STRUCK BY A RIB COAL.2=A BOUNCE OCCURR9D IN A PILLAR SECTION AND THE VICTIM WAS STRUCK BY RIB COAL,UT,SOLDIER CREEK COAL COMPANY
4200077,SOLDIER CANYON,3/4/1986,2300,A BOUNCE OCCURR9D ON A PILLAR SECTION AND HE WAS STRUCK BY RIB COAL,UT,SOLDIER CREEK COAL COMPANY
4400238,BEATRICE MINE,3/4/1986,1140,INJURED WAS IN 0ACELINE BEATING UP A ROCK WITH A SLEDGE HAMMER. ROOF BUMPED CAUSING A ROCK TO FALL FROM FACE STRIKING HIM ON RIGHT HAND,VA,BEATRICE POCAHONTAS COMPANY
101247,Mine No. 4,5/6/1986,1430,Coal burst at tailgate entries of the No. 3 longwall. Sudden release from around the pillars of coal that support the entries along the return.  60 in to 84 in thick seam. Workers at longwall and headgate were blown down from the airblast concusion. ,AL,Jim Walters Resouces
4201944,COTTONWOOD,4/10/1986,1505,THE FOREMAN WAS3STANDING BEHIND ROOF BOLTER WATCHING PERSONS BOLT TAPE THE RIB BURST SENDING CHUNK OF COAL OUTWARD STRIKING EE ON THE NOSE.,UT,UTAH POWER & LIGHT CO. MINING
4200093,SUNNYSIDE MINE NO. 1,4/21/1986,1200,"EMP WAS STANDIN1 NEAR FACE CONVEYOR, A BOUNCE OCCURRED AND THE CHANNEL STRUCK HIS LEG JUST ABOCVE THE KNEE",UT,KAISER COAL CORPORATION OF SUN
500301,DUTCH CREEK NO. 1 & ROCK TUNNE,4/29/1986,2130,ADVANCING #7 SL2PE THROUGH AN IGNEOUS DYKE HAD JUST COMPLETED BLASTING OF ROCK FACE CLEANING UP LOOSE MATERIAL ON FLOOR WHEN ROCK FACE OUTBURST PARTIALLY COVERING CONT MINER WITH ROCK AND COA,CO,"MIDCONTINENT RESOURCES, INC."
4200093,SUNNYSIDE MINE NO. 1,4/29/1986,1815,EMPLOYEE ALLEGE8 A BOUNCE OCCURRED AND COAL STRUCK HIM ON THE BACK.,UT,KAISER COAL CORPORATION OF SUN
4200089,SOUTHERN UTAH FUEL,5/16/1986,1243,WHILE MOVING A 8HIELD A LUMP OF COAL BURST FROM THE FACE STRIKING THE EE ON T HE LEFT SHOULDER THIS CAUSED HIS SHOULDER TO BE CRACKED.,UT,SOUTHERN UTAH FUEL COMPANY
4403600,NO 7,5/19/1986,1330,VICTIM WS ATTEM1TING TO PULL ROCK IN PLACE DURING BOLTING PROCEDURE TOP WAS LOW & HE WAS PULLING UP ON SLATE BAR WHEN ROCK BROKE SUDDENLY & MOMENTUM HE EXERTED ON BAR CUASED IT TO BOUNCE UP IN FACE CUTTING E2ELID.,VA,"CARRIE COAL CO., INC."
500469,DUTCH CREEK NO. 2,6/3/1986,1630,"A BOUNCE OCCURR9D DISPLACING COAL AND MATERIALS FROM THE PILLAR ONTO THE MINER CREW. THE MINER HELPER WAS BRUISED BY MATERIAL STRICKING HIS ABDOMEN, PELVIS, HIP AND KNEE.",CO,"MID-CONTINENT RESOURCES, INC."
500469,DUTCH CREEK NO. 2,6/3/1986,1630,A BOUNCE OCCURR9D CAUSING A DISPLACEMENT OF COAL AND DEBRIS INTO THE MINER SECTION. HE WAS NOCKED OVER AND HAD HIS LEGS COVERED DURING THIS BOUNCE WHICH RESULTED IN THE DAMAGE OF HIS LEFT KNE E . THIS REQUI9ED ORTHOSCOPIC SURGERY AND HE IS STILL OFFWORK.,CO,"MID-CONTINENT RESOURCES, INC."
4201393,LITTLE DOVE,6/4/1986,1400,ROOF FALL CAUSE8 BY LARGE BOUNCE COVERED UP EMPLOYEE WHILE DETERMINING IF FALLWAS REPORTAL TO MSHA. 2 = MAN WAS DETERMI3G IF ROOF FALL WAS REPORTABLE TO MSHA - LARGE BOUNCE HIT AREA AND KNOCKED 2 FT. OF SHALE DOWN ON HIM,UT,UTAH POWER & LIGHT CO. MINING
4200089,SOUTHERN UTAH FUEL,8/29/1986,1000,"EMPLOYEE WAS PI7KING A COAL SAMPLE FROM THE RIB IN 2 ENTRY 4L6E, WHEN THE RIB BURST HITTING HIM IN THE FACE.",UT,SOUTHERN UTAH FUEL COMPANY
4200098,KING NO. 4 MINE,10/31/1986,1250,SUPERVISING THE3SPLITTING OF A PILLAR WHEN BOUNCE OCCURRED AND RIB COAL FELL AND STRUCK HIM.,UT,UNITED STATES FUEL CO.
